"X","n","Pi","Fehler","Operationen","Laufzeit","k","sd","var"
11,57361,3.12797894039504,0.0136137131947513,224284,62.4802112579346,3,0.00993396141104189,9.86835893160693e-05
12,67233,3.14256391950382,0.000971265914021852,264109,47.4512577056885,3,0.00667910247156906,4.46104098257199e-05
13,78804,3.14202324755089,0.000430593961092503,309509,65.9952163696289,3,0.00655714213104045,4.29961129266657e-05
14,92367,3.1412950512629,0.000297602326896316,362694,76.6251087188721,3,0.00335816783171773,1.12772911859837e-05
15,108263,3.13920730073986,0.00238535284992828,424829,94.7515964508057,3,0.00612584353004378,3.75259589545793e-05
16,126896,3.14509519606607,0.00350254247627661,498879,128.153800964355,3,0.00408484408376809,1.66859511886952e-05
17,148735,3.14443809459777,0.00284544100798133,584614,123.360395431519,3,0.00320314642006448,1.02601469883719e-05
18,174332,3.13876970378359,0.0028229498062079,683989,142.107009887695,3,0.0035181880183954,1.2377646932781e-05
19,204335,3.14366114468887,0.00206849109907553,802954,175.275564193726,3,0.00409325900321617,1.67547692674103e-05
20,239502,3.13881303705188,0.00277961653791058,939694,205.045938491821,3,0.00366498534143714,1.34321175529491e-05
21,280721,3.14391869507447,0.00232604148467572,1103209,256.031274795532,3,0.00259250479197437,6.72108109641006e-06
22,329034,3.14417355045375,0.00258089686395926,1293179,279.756546020508,3,0.00186870594123173,3.49206189479476e-06
23,385662,3.14190145775316,0.000308804163368857,1514644,321.679592132568,3,0.00278743061843369,7.7697694525816e-06
24,452035,3.13848263961861,0.00311001397117964,1773384,374.778032302856,3,0.0025331843397834,6.41702289932384e-06
25,529831,3.13784584140981,0.00374681217998521,2078164,455.265045166016,3,0.00190266469243363,3.62013293183357e-06
26,621016,3.14370644234609,0.00211378875629768,2440369,519.439220428467,3,0.00219526229072764,4.81917652509077e-06
27,727895,3.14221694063017,0.000624287040380069,2859009,613.778591156006,3,0.00192242679655581,3.69572478811584e-06
28,853167,3.14078251971771,0.000810133872082638,3349519,704.77819442749,3,0.0021627488836013,4.67748273351869e-06
29,1000000,3.144056,0.00246334641020676,3930074,849.78723526001,3,0.00138763299662887,1.92552533333323e-06
0,10000,3.116,0.0255926535897932,38954,0,4,0.00902106177539844,8.13795555555549e-05
1,11721,3.12669567443051,0.0148969791592839,45814,15.6264305114746,4,0.0140985787118496,0.000198769921694219
2,13738,3.17251419420585,0.0309215406160591,54484,16.9105529785156,4,0.0182829468340128,0.000334266144935337
3,16102,3.13700161470625,0.00459103888354557,63144,0,4,0.0134533755211227,0.000180993312912345
4,18873,3.14099507232554,0.00059758126424881,74104,31.2602519989014,4,0.0136881737509215,0.000187366100635416
5,22122,3.13805261730404,0.00354003628575201,86779,23.6620903015137,4,0.0110127033680221,0.000121279635472046
6,25929,3.14103899109106,0.000553662498736892,101809,8.00132751464844,4,0.00747372194897741,5.58565197706267e-05
7,30391,3.15553946892172,0.013946815331927,119879,31.2507152557373,4,0.0135462124197493,0.00018349987092097
8,35622,3.14176632418169,0.000173670591892237,139899,31.2466621398926,4,0.0106690817822255,0.000113829306075816
9,41753,3.13807391085671,0.00351874273308833,163784,31.6247940063477,4,0.00638948839888021,4.08255619994248e-05
10,48939,3.13001900324894,0.0115736503408507,191479,46.8716621398926,4,0.00829452752755447,6.87991869053588e-05
11,57361,3.13983368490786,0.00175896868192901,225134,51.3739585876465,4,0.00993396141104189,9.86835893160693e-05
12,67233,3.12780926033347,0.013783393256326,262869,58.3739280700684,4,0.00667910247156906,4.46104098257199e-05
13,78804,3.13451093853104,0.00708171505875421,308769,62.8764629364014,4,0.00655714213104045,4.29961129266657e-05
14,92367,3.14068877412929,0.00090387946050464,362624,62.7706050872803,4,0.00335816783171773,1.12772911859837e-05
15,108263,3.1432345307261,0.00164187713630894,425374,109.856843948364,4,0.00612584353004378,3.75259589545793e-05
16,126896,3.14342453662842,0.00183188303862689,498614,106.706857681274,4,0.00408484408376809,1.66859511886952e-05
17,148735,3.14078058291592,0.000812070673868944,583934,117.260932922363,4,0.00320314642006448,1.02601469883719e-05
18,174332,3.13867792487897,0.00291472871082667,683969,156.705617904663,4,0.0035181880183954,1.2377646932781e-05
19,204335,3.13211148359312,0.0094811699966741,800004,175.034046173096,4,0.00409325900321617,1.67547692674103e-05
20,239502,3.13751033394293,0.00408231964686166,939304,220.77488899231,4,0.00366498534143714,1.34321175529491e-05
21,280721,3.14347697535988,0.00188432177008365,1103054,289.326667785645,4,0.00259250479197437,6.72108109641006e-06
22,329034,3.1421068947282,0.000514241138411142,1292329,329.513311386108,4,0.00186870594123173,3.49206189479476e-06
23,385662,3.14072944702875,0.00086320656104786,1514079,362.240076065063,4,0.00278743061843369,7.7697694525816e-06
24,452035,3.13742962381232,0.00416302977747782,1772789,440.231323242188,4,0.0025331843397834,6.41702289932384e-06
25,529831,3.14066938325617,0.000923270333622875,2080034,518.942594528198,4,0.00190266469243363,3.62013293183357e-06
26,621016,3.14113646025223,0.000456193337561412,2438374,613.064527511597,4,0.00219526229072764,4.81917652509077e-06
27,727895,3.14360175574774,0.0020091021579451,2860269,692.21830368042,4,0.00192242679655581,3.69572478811584e-06
28,853167,3.14007925763655,0.00151339595324611,3348769,849.95698928833,4,0.0021627488836013,4.67748273351869e-06
29,1000000,3.140644,0.000948653589793238,3925809,1428.20930480957,4,0.00138763299662887,1.92552533333323e-06
0,10000,3.1332,0.00839265358979324,39169,0,5,0.00902106177539844,8.13795555555549e-05
1,11721,3.13864004777749,0.00295260581229985,45989,17.4274444580078,5,0.0140985787118496,0.000198769921694219
2,13738,3.16436162469064,0.0227689711008459,54344,31.3589572906494,5,0.0182829468340128,0.000334266144935337
3,16102,3.13277853682772,0.00881411676206998,63059,17.8143978118896,5,0.0134533755211227,0.000180993312912345
